d,eccentricity,overlap,seed,n_samples,n_components,n_seeds_total,algorithm,ARI,NMI,fit_time,mean_loglik,silhouette,davies_bouldin,calinski_harabasz
2,10,0.6,2,500,3,3,KMeans,0.8320493439912013,0.775343793131666,0.2239551544189453,,0.5907607534468151,0.5486879381571593,836.8267278690598
2,10,0.8,0,500,3,3,GMM,0.6684566464513895,0.6710086938899507,0.18157267570495605,-3.0402767966359576,0.41698946085655614,0.8271724266735019,376.4774817783409
2,10,0.8,0,500,3,3,KMeans,0.514669150316916,0.518359261172653,0.32617974281311035,,0.4749915754722498,0.7147307336091311,548.0711549716185
2,10,0.8,1,500,3,3,GMM,0.6852445121456842,0.665086793353967,0.08667540550231934,-3.0380854055294564,0.4460664865565062,0.7493302407617239,439.8055284252029
2,10,0.8,1,500,3,3,KMeans,0.5129090376092817,0.545433712315162,0.20245647430419922,,0.48806089751255427,0.6917846383175789,543.5837338372971
2,10,0.8,2,500,3,3,GMM,0.5352011400809754,0.4733617469744752,0.1061856746673584,-3.011638314785786,0.3988358173109467,0.9112870372845986,324.8804797447969
2,10,0.8,2,500,3,3,KMeans,0.5561566754906705,0.5071956507700928,0.1531064510345459,,0.46005961149203495,0.7410969259209045,478.4454004316236
2,30,0.0,0,500,3,3,GMM,1.0,1.0,0.024710416793823242,-2.8456270705844977,0.8038498741936272,0.2625617790182064,3283.846927410716
2,30,0.0,0,500,3,3,KMeans,1.0,1.0,0.13822293281555176,,0.8038498741936272,0.2625617790182064,3283.846927410716
2,30,0.0,1,500,3,3,GMM,1.0,1.0,0.047393083572387695,-2.832900506639547,0.8050465835888009,0.2593645417606934,3302.658253011592
2,30,0.0,1,500,3,3,KMeans,0.993969818926683,0.9888285217650024,0.05405545234680176,,0.8049459576886172,0.2601335468461292,3305.7911079617884
2,30,0.0,2,500,3,3,GMM,0.993969818926683,0.9888285217650022,0.029975414276123047,-2.879572531179101,0.8083879325814848,0.2617929356240399,3238.692444224728
2,30,0.0,2,500,3,3,KMeans,0.9879762948044486,0.9801906510597234,0.12679696083068848,,0.8085912684368768,0.26251563392924254,3246.6279399508035
2,30,0.2,0,500,3,3,GMM,1.0,1.0,0.03716421127319336,-2.8455227905970464,0.7559908702542374,0.3206389018243822,2201.66286722263
2,30,0.2,0,500,3,3,KMeans,0.9879762948044486,0.9801906510597234,0.12375068664550781,,0.7565578282801726,0.32343259790419926,2208.7995587764603
2,30,0.2,1,500,3,3,GMM,1.0,1.0,0.044113874435424805,-2.8328872594134538,0.7580558948136137,0.31644872645127814,2217.592548014609
2,30,0.2,1,500,3,3,KMeans,0.9820196457415075,0.972508749315855,0.13512873649597168,,0.7610493356562228,0.31727765776809697,2273.3765080367725
2,30,0.2,2,500,3,3,GMM,0.9879762948044486,0.9801906510597234,0.024892568588256836,-2.874992828974335,0.7668158676630463,0.31627404057235614,2241.506214239763
2,30,0.2,2,500,3,3,KMeans,0.9879762948044486,0.9801906510597234,0.17552852630615234,,0.7668158676630463,0.31627404057235614,2241.506214239763
2,30,0.4,0,500,3,3,GMM,0.9879762948044486,0.9801906510597234,0.11194276809692383,-2.8368427453611123,0.6833884512549759,0.41123525847718284,1367.8178735465474
2,30,0.4,0,500,3,3,KMeans,0.9174432887274736,0.8834210809991137,0.21246910095214844,,0.6875146269351686,0.40739626468413426,1410.4964613025102
2,30,0.4,1,500,3,3,GMM,0.993969818926683,0.9888285217650024,0.1120462417602539,-2.82828435278951,0.6871409195622802,0.4043198645823367,1378.8765330446402
2,30,0.4,1,500,3,3,KMeans,0.9344944650355113,0.9079884350323109,0.08243155479431152,,0.697461624426166,0.4002524941118842,1482.8497992622897
2,30,0.4,2,500,3,3,GMM,0.9700500434219901,0.9467254804527314,0.19675111770629883,-2.86578871141969,0.6934834869908321,0.40861780848932483,1330.4139489076283
2,30,0.4,2,500,3,3,KMeans,0.9700323760229831,0.9501874854936684,0.255657434463501,,0.7008574651072962,0.4001296135297305,1417.0195418375185
2,30,0.6,0,500,3,3,GMM,0.9244866457118527,0.9057318931885234,0.14401674270629883,-2.7769764597341453,0.5701802420580052,0.5636565561610337,750.7421937478764
2,30,0.6,0,500,3,3,KMeans,0.7918868348144631,0.7603584963102308,0.3366279602050781,,0.6076130318818084,0.5241803986247334,918.8342628070488
2,30,0.6,1,500,3,3,GMM,0.9642787387030183,0.9477032313505707,0.14359593391418457,-2.7861396774446754,0.5778907773564369,0.548886167740486,771.4508559868649
2,30,0.6,1,500,3,3,KMeans,0.7796760678113867,0.7671297126347048,0.44431471824645996,,0.6135417831955844,0.5158871862650524,949.7886802987554
2,30,0.6,2,500,3,3,GMM,0.8939883561425944,0.8402494740263381,0.15174388885498047,-2.7937750383370004,0.5804688744001145,0.5613828250562567,720.1978568334619
2,30,0.6,2,500,3,3,KMeans,0.8254816825631331,0.7888007406601161,0.8456578254699707,,0.6070190300732456,0.5372193323952489,849.164451316952
2,30,0.8,0,500,3,3,GMM,0.7662586496348126,0.7868603208543696,0.23810911178588867,-2.6547733327853327,0.3867774224041518,0.8990836190975328,311.8109762012244
2,30,0.8,0,500,3,3,KMeans,0.5035343164064515,0.5383334470699381,0.32550811767578125,,0.5005704952262876,0.6810122764113994,586.4559710940011
2,30,0.8,1,500,3,3,GMM,0.8044912595547203,0.756347770766615,0.24173450469970703,-2.6363587530955668,0.4122414795674031,0.822792054542222,344.4084518378836
2,30,0.8,1,500,3,3,KMeans,0.5201643261273444,0.5525946468888426,0.15990662574768066,,0.5157648342887157,0.6516826278328843,578.8241521464258
2,30,0.8,2,500,3,3,GMM,0.6749312777195555,0.6050807948313588,0.04300093650817871,-2.6393032970560273,0.37795576002521053,0.90964774815721,275.76572876994055
2,30,0.8,2,500,3,3,KMeans,0.546933795020704,0.5546878786978598,1.0757768154144287,,0.4848851518797402,0.7079883873659405,484.6606496860161
10,1,0.0,0,500,3,3,GMM,1.0,1.0,0.06381511688232422,-14.937870571179824,0.5353274909847932,0.7080264262988822,652.7449897158311
10,1,0.0,0,500,3,3,KMeans,1.0,1.0,0.11735248565673828,,0.5353274909847932,0.7080264262988822,652.7449897158311
10,1,0.0,1,500,3,3,GMM,1.0,1.0,0.10242366790771484,-15.146359083016812,0.5230827160284758,0.7241986628620679,609.8515649891872
10,1,0.0,1,500,3,3,KMeans,1.0,1.0,0.12417912483215332,,0.5230827160284758,0.7241986628620679,609.8515649891872
10,1,0.0,2,500,3,3,GMM,1.0,1.0,0.07747197151184082,-15.16054610713302,0.5245355106757728,0.7222899331796934,615.5080024779495
10,1,0.0,2,500,3,3,KMeans,1.0,1.0,0.2976725101470947,,0.5245355106757728,0.7222899331796934,615.5080024779495
10,1,0.2,0,500,3,3,GMM,0.993969818926683,0.9888285217650024,0.05486464500427246,-14.935480230083387,0.4548754225103196,0.8638561132974756,440.52746365612455
10,1,0.2,0,500,3,3,KMeans,1.0,1.0,0.12252545356750488,,0.45516071567288646,0.8639679221243632,441.0233453899404
